Year,rent_x-8,rent_x-7,rent_x-6,rent_x-5,rent_x-4,rent_x-3,rent_x-2,rent_x-1,rent_x
atl,17.63,16.42,15.53,15.62,15.88,17.12,17.27,19.54,21.91
aus,16.77,17.39,18.72,20.22,21.34,22.43,23.6,25.19,24.97
bos,28.37,22.92,25.54,27.71,22.77,16.42,25.1,19.2,20.48
dall,18.44,18.32,18.24,18.62,19.82,21.36,21.55,21.93,21.94
den,16.12,15.82,17.75,18.51,19.94,20.41,20.36,21.22,21.62
hous,17.84,19.34,20.19,21.25,21.95,21.6,21.26,20.89,20.95
la,23.34,23.21,23.59,24.32,24.21,23.98,25.12,26.21,26.7
0sh,17.38,17.44,17,17.42,17.58,17.53,17.56,18.14,18.2
nyc,16.51,17.48,17.31,23.54,21.48,26.44,29.24,20.38,18.83
oak,14.65,11.78,14.13,21.16,16.51,14.35,17.18,20.62,21.21
pitts,12.82,13.38,13.45,13.58,13.68,13.82,13.14,17.15,16.03
port,20.09,14.52,16.97,17.64,26.71,27.28,25,19.77,22.56
rd,17.68,16.31,15.54,15.02,14.48,14.73,15.26,15.03,16.93
slc,17.68,16.31,15.54,15.02,14.48,14.73,15.26,15.03,16.93
sd,20.25,18.86,20.86,22.64,22.43,20.18,25.87,27.71,28.33
sf,24.61,32.78,33.61,31.01,36.64,40.24,48.31,52.4,49.57
sj,25.47,25.38,25.07,29.39,31.29,38.63,41.37,44.08,44.33
sea,19.58,18.69,19.67,20.41,21.5,22.84,22.68,24.38,23.98
dc,37.84,36.4,38.21,35.62,37.15,38.51,39.19,42.49,40.72
