Market,comp x-6,comp x-5,comp x-4,comp x-3,comp x-2,comp x-1,comp x,comp hist 2 years,comp hist 5 years,comp x,comp forecast x,comp forecast x+1,comp forecast x+2,comp forecast x+3,comp forecast x+4,comp forecast x+5,comp forecast avg 2 years,comp forecast avg 5 years,vacancy x-6,vacancy x-5,vacancy x-4,vacancy x-3,vacancy x-2,vacancy x-1,vacancy x,vacancy hist 2 years,vacancy hist 5 years,gross rent current qtr,gross rent last qtr,net rent current qtr,net rent last qtr,inventory x
Atlanta,0,11,851,134,217,1922,953,1526,816,953,1920,1773,2180,2242,2358,2281,1673,2016,20.3,18.7,17.7,15.6,15.3,15,15.5,15.3,19.7,25.24,24.62,21.91,19.54,141795
Austin,76,89,568,2898,1034,1633,150,1257,1274,150,2692,1582,1918,1693,1576,1431,2327,1935,12.5,10.8,8.1,7.6,7.8,8.2,9.1,7.7,11.3,24.39,22.79,24.97,25.19,43481
Boston,547,466,614,2214,2965,2094,20,2011,1638,20,2573,1558,1922,1981,1960,1941,2308,2092,12.1,11.2,10.7,9.9,9.7,9.9,10.2,9.9,12.4,34.38,34.74,20.48,19.2,191409
Dallas,615,295,2369,3588,2920,3336,1129,3380,2712,1129,3887,3036,3008,2899,2609,2281,3291,2983,20.9,19.2,18.3,17.4,17.5,18.5,18.9,17.5,20.5,15.05,14.98,21.94,21.93,164855
Denver,246,234,418,1408,1056,2394,854,2093,1273,854,3188,1200,1088,880,792,793,1928,1298,15.2,14.6,12.8,12.2,13,13.9,14,12.7,14.9,23.78,23.44,21.62,21.22,101048
Houston,500,3282,3869,6782,3362,2538,476,2880,4062,476,842,1405,873,606,558,691,1003,795,13.1,12.8,12.2,16.3,20.1,22.5,23.1,16.3,13.2,18.92,18.59,20.95,20.89,170401
Los Angeles,220,424,259,1125,777,2291,572,1643,1090,572,1860,2261,1509,1197,1266,1187,1939,1563,16.7,16.6,15.1,14.4,13.4,14.1,14.2,13.9,16.9,35.87,36.67,26.7,26.21,187917
Nashville,255,0,256,975,819,2308,0,1496,872,0,675,172,760,942,1012,1006,516,763,12.3,10.4,9,7.5,5.5,10.1,10.6,6.5,11.9,26.71,26.66,18.2,18.14,37425
New York,23,4300,3596,768,1952,123,274,1175,2203,274,5130,5021,1500,2011,1966,1883,4939,3163,9.2,10.2,9.2,9,9.6,9.4,9.2,9.3,9.4,61.94,62.05,18.83,20.38,491033
Oakland,11,0,395,111,213,186,335,356,248,335,1146,639,960,828,712,624,893,824,13.6,12.9,13.6,10.1,8.8,10.7,11.8,9.9,13.4,37.76,36.42,21.21,20.62,52468
Pittsburgh,303,418,941,636,477,455,63,418,572,63,557,230,421,496,581,639,416,478,9,9.5,9.4,9.4,9.6,11.1,11.6,9.5,9,22.2,22,16.03,17.15,79647
Portland,46,0,162,155,535,272,349,353,295,349,1107,138,445,509,553,562,509,509,14.9,13.3,11.6,10.8,10.2,12.5,11.4,10.5,13.9,26.38,26.94,22.56,19.77,46627
Raleigh,128,305,604,916,449,1736,37,948,809,37,2005,1249,1693,1846,2057,2263,1821,1869,13.8,12.7,10,9.2,7.2,8.3,8.3,8.8,13.4,23.87,23.76,16.93,15.03,56382
Salt Lake City,865,489,316,927,1246,1494,0,1296,872,0,870,215,913,1234,1374,1376,652,990,14.8,13,10.2,10.1,10.1,11.6,10.9,9.5,14.1,24.55,24.35,14.77,14.16,35211
San Diego,0,120,946,846,372,359,25,378,534,25,490,348,884,1192,1351,1405,507,918,14.3,14.1,12.1,12.4,12.1,12.1,12.6,11.8,13.9,31.45,31.55,28.33,27.71,58802
San Francisco,219,372,1177,1568,1565,689,1952,1973,1465,1952,5844,2508,0,1250,1234,1662,3200,1852,9.9,8.9,7.3,6.3,6.5,7.7,7.4,6.3,9.9,56.54,55.21,49.57,52.4,96872
San Jose,310,1646,640,2756,2752,5036,2133,4365,2907,2133,4403,1101,1495,1418,1315,1253,1892,1584,14,13.9,13.1,8.2,9.2,12.8,12.6,8.5,13.6,42.09,38.92,44.33,44.08,54160
Seattle,284,474,157,1919,3461,2981,274,2718,1822,274,1285,2880,2810,1956,1493,1159,2443,2096,13.7,13.2,11,9.9,8.1,8.1,8.2,9.3,13.9,32.38,32.16,23.98,24.38,94709
"Washington, DC",1898,2562,2793,1048,2189,2864,844,2548,2420,844,5281,4069,3440,2562,1979,1737,4739,3381,15.3,15.5,16.3,15.5,15.6,15.3,15.4,16,15.4,35.76,35.58,40.72,42.49,310833
