year,x-5,x-4,x-3,x-2,x-1,x
boul,49.64327047,51.0886273,51.81121604,54.05022542,55.73910189,57.07873831
sf,304.78,318.83,336.22,348.75,358,364.67
dc,789.1034441,793.4059098,801.2877345,822.2555938,838.6903393,850.6009038
sj,294.9878,312.281083,328.1615754,341.0472311,350.5015277,358.0448951
bos,767.574085,791.7882452,814.8502143,839.9927976,858.593164,875.3445736
rd,195.2686023,204.4939161,213.9966187,222.85508,230.2525694,236.7037222
aus,173.8416672,179.9027577,187.6781052,194.8246984,202.1491274,208.7099296
oak,255.1350585,264.2936166,272.6182227,283.5581122,292.4289943,299.4598477
den,271.8154301,285.4317948,294.8060557,306.3128289,314.4365824,321.055053
sea,432.4666679,450.238321,459.6196831,472.6842312,484.502934,493.6971247
nyc,1409.022597,1456.476418,1501.758622,1551.526073,1584.640209,1609.717719
port,62.7072962,63.8216131,65.24850692,66.41406746,67.64713628,68.81995623
atl,477.2083311,489.4428631,505.318162,524.4476152,542.4392115,558.5531518
sd,295.9159532,308.4629462,320.0799597,331.7009897,340.045565,346.5051416
dall,420.2099995,433.5438364,449.3042451,464.6821423,481.3253746,496.0190917
nash,166.5799444,172.0650878,178.3337628,183.9306932,188.067631,191.5762702
pitts,309.5072647,314.3994425,321.5135196,333.5659089,341.5229589,348.6272308
slc,124.2097107,127.361153,133.6403467,140.3512707,144.5530212,147.8507833
hous,599.1468382,631.0811182,649.4166225,661.7708296,689.1914459,710.4803944
la,1329.734934,1379.980854,1418.043013,1469.76542,1506.983067,1535.339454
