year,x-5,x-4,x-3,x-2,x-1,x
boul,20048.69,20946.36,21627.95,22436.3,23089.62,23704.79
sf,161271.24,168494.01,175541.06,182265.16,186628.59,190450.09
dc,321678.65,321636.52,327547.35,337524.91,345345.49,353318.45
sj,150160.72,156188.5,160987.88,165668.86,169176.13,172686.83
bos,155138.72,157688.59,163117.48,169821.81,174517.34,179142.84
rd,90657.12435,93418.93764,97100.76437,101279.5489,104637.8397,107893.7698
aus,96838.41,101877.11,106359.53,110838.75,115333.75,119201.43
oak,140951.94,143847.62,148404.29,153554.79,157093.64,159486.94
den,151192.76,155828.24,161055.57,167858.79,173656.94,178944.67
sea,214766.22,222413.24,230025.39,237213.47,241812.99,247269.26
nyc,830064.07,840765.19,870943.04,901866.09,923590.62,944399.31
port,148981.82,152582.23,157658.35,163526.4,168119.65,172460.3
atl,264091.41,272107.66,283662.72,297446.95,309492.01,322162.03
sd,186511.75,191420.38,197594.68,203680.81,208384.99,213085.81
dall,261908.18,270198.36,277823.81,289280.63,311181.73,328553.66
nash,83337.12,85381.47,88044.76,90551.88,91994.6,93294.92
pitts,126387.9,126368.94,127964.68,131846.76,134377.14,136569.44
slc,69933.97,71548.84,75284.98,78876.96,81581.01,83843.47
hous,402153.39,418694.14,428495.16,444232.6,481567.64,514804.2
la,578872.47,593793.2,610492.59,630767.04,646692.72,659270.23
