Year,dc Prop,dc Vol,dc Units,dc price per sf,dc cap rate,pitts prop,pitts vol,pitts units,pitts price sf,pitts cap rate,bos prop,bos vol,bos units,bos price sf,bos cap rate,man prop,man vol,man units,man units sf,man cap rate,nj prop,nj vol,nj units,nj units sf,njcap rate,nyc prop,nyc vol,nyc units,nyc price sf,nyc cap rate,atl prop,atl vol,atl units,atl price sf,alt cap rate,nash prop,nash vol,nash units,nash price sf,nash cap rate,ral prop,ral vol,ral units,ral price sf,ral cap rate,aus prop,aus vol,aus units,aus price sf,aus cap rate,dall prop,dall vol,dall units,dall price sf,dall cap rate,dall prop,dall vol,dall units,dall price sf,dall cap rate,hou prop,hou vol,hou units,hou price sf,hou cap rate,oak prop,oak vol,oak units,oak price sf,oak cap rate,la prop,la vol,la units,la price sf,la cap rate,la prop,la vol,la units,la price sf,la cap rate,slc prop,slc vol,slc units,slc price sf,slc cap rate,sd prop,sd vol,sd units,sd price sf,sd cap rate,sf prop,sf vol,sf units,sf price sf,sf cap rate,sj prop,sj vol,sj units,sj price sf,sj cap rate,sea prop,sea vol,sea units,sea price sf,sea cap rate,usa prop,usa vol,usa units,usa price sf,usa cap rate
2001,15.00,767639063.58,2708758.00,297.23,0.09,2.00,23550000.00,502000.00,46.91,0.00,6.00,162942680.00,900484.00,198.00,0.09,22.00,2533083025.34,6124592.00,413.59,0.08,8.00,96261446.00,695160.00,169.94,0.10,1.00,2900000.00,9600.00,302.08,0.00,5.00,117494388.15,1316492.00,131.50,0.08,3.00,41937500.00,551846.00,75.99,0.11,1.00,6800000.00,94604.00,71.88,0.07,2.00,43803905.56,922170.00,0.00,0.00,10.00,202075211.87,1583861.00,132.38,0.10,9.00,102361943.32,1068376.00,93.40,0.10,4.00,31439000.00,459779.00,68.38,0.10,6.00,136869947.65,1002426.00,245.40,0.08,17.00,212026666.67,2119507.00,94.98,0.08,3.00,113000000.00,827554.00,136.55,0.00,1.00,8000000.00,52566.00,152.19,0.09,12.00,177675000.00,1228328.00,144.65,0.09,2.00,42390000.00,154000.00,275.26,0.08,2.00,197500000.00,716000.00,275.84,0.09,12.00,206031199.00,1036689.00,198.74,0.09,354.00,9014300223.85,58202545.00,175.00,0.09
2002,17.00,894684735.76,2995496.00,252.46,0.08,0.00,0.00,0.00,0.00,0.00,13.00,862778534.33,4144886.00,217.44,0.09,23.00,1732406361.31,5259135.00,379.90,0.07,16.00,619195000.00,3353794.00,173.90,0.09,1.00,15250000.00,165200.00,0.00,0.08,9.00,148292300.00,1537639.00,96.44,0.09,2.00,67029411.00,370136.00,181.09,0.10,6.00,130722000.00,1294512.00,100.98,0.09,2.00,26900000.00,351000.00,105.63,0.09,14.00,312042168.28,2831577.00,116.45,0.10,14.00,184113083.04,1786685.00,104.90,0.08,21.00,587566000.00,5622304.00,105.55,0.09,4.00,40050000.00,220608.00,182.84,0.09,25.00,687649694.33,4375595.00,160.66,0.09,8.00,84875316.88,727386.00,110.64,0.08,0.00,0.00,0.00,0.00,0.00,16.00,339000192.88,1760716.00,192.96,0.08,5.00,81800000.00,470987.00,173.68,0.08,5.00,117950000.00,636974.00,185.17,0.07,18.00,332172124.04,2011656.00,170.63,0.08,452.00,12892256906.71,81695090.00,156.48,0.09
2003,26.00,1925045531.75,6488707.00,318.00,0.08,1.00,15000000.00,94500.00,158.73,0.08,10.00,98941750.00,1098995.00,90.03,0.10,18.00,2070425000.00,8330689.00,282.76,0.08,15.00,184779695.25,1363760.00,133.83,0.08,0.00,0.00,0.00,0.00,0.10,24.00,513612456.23,4347768.00,150.67,0.09,3.00,125500000.00,756716.00,165.85,0.09,4.00,37789000.00,390393.00,81.24,0.00,3.00,19200000.00,156053.00,123.04,0.00,13.00,221464933.08,3104551.00,80.53,0.07,11.00,97303550.00,1141783.00,87.97,0.09,17.00,394163333.33,4780797.00,85.71,0.09,6.00,282815172.00,1224143.00,272.43,0.08,57.00,1611042618.91,10529988.00,155.06,0.08,5.00,83575000.00,737833.00,113.27,0.08,1.00,27930000.00,240529.00,116.12,0.07,19.00,219971000.00,1252224.00,173.93,0.08,8.00,170077000.00,1237567.00,116.53,0.06,10.00,338586000.00,1838814.00,187.02,0.10,15.00,324104766.47,2216886.00,158.95,0.09,692.00,15823581836.09,106403105.00,154.23,0.08
2004,13.00,1179217652.79,2508431.00,473.81,0.07,4.00,125524145.50,2260025.00,55.54,0.09,36.00,1017831942.55,4990184.00,216.30,0.07,40.00,2356429558.33,9166701.00,293.11,0.07,18.00,398835000.00,2676528.00,153.36,0.08,4.00,34200000.00,201618.00,169.63,0.07,38.00,874393497.00,6291695.00,136.44,0.07,5.00,17810513.00,156412.00,113.87,0.00,4.00,28575824.23,274444.00,109.52,0.08,10.00,222714619.57,1726557.00,141.84,0.08,26.00,826327406.64,9349982.00,97.60,0.08,15.00,304165250.00,2572841.00,118.22,0.09,25.00,942151942.69,13600774.00,92.48,0.07,12.00,434943333.33,2619308.00,165.55,0.08,61.00,1502536132.70,8245198.00,171.83,0.07,5.00,53501820.00,357256.00,149.76,0.09,6.00,96497229.22,910057.00,113.32,0.08,33.00,1108997983.28,4209926.00,280.95,0.07,19.00,726850000.00,3111064.00,256.93,0.07,16.00,420187359.14,2483914.00,229.87,0.07,26.00,1006454674.06,4177750.00,241.13,0.08,950.00,23974180328.44,156648057.00,170.86,0.08
2005,21.00,1801377333.34,4392050.00,413.97,0.06,10.00,109212500.00,810138.00,135.32,0.08,58.00,1284653326.18,8175965.00,164.26,0.06,45.00,2929259253.00,7200665.00,479.68,0.06,24.00,530508244.00,3538609.00,176.19,0.07,8.00,373357575.00,1719641.00,299.28,0.07,41.00,943326172.94,5885643.00,165.32,0.07,7.00,148961036.00,1062604.00,140.18,0.07,4.00,115499000.00,492830.00,234.36,0.07,15.00,482172001.35,4012708.00,86.45,0.07,68.00,2410550261.01,15967578.00,173.75,0.08,23.00,531688119.67,4430423.00,126.40,0.07,29.00,868761630.57,6714482.00,143.70,0.08,21.00,571084437.17,2983828.00,215.31,0.07,70.00,1102713645.40,5936646.00,191.19,0.07,9.00,224615140.00,1048847.00,214.15,0.07,5.00,121900000.00,798459.00,170.89,0.07,38.00,634347653.96,2676160.00,252.64,0.07,36.00,1459311342.73,4714595.00,314.60,0.08,20.00,411565675.00,1992391.00,212.16,0.08,40.00,916522188.77,3945490.00,251.36,0.07,1384.00,31928066353.93,179174600.00,196.83,0.07
2006,38.00,3694615126.84,9091790.00,500.12,0.05,4.00,39750000.00,464741.00,85.53,0.06,62.00,5832143771.44,15530928.00,376.13,0.06,48.00,8277957518.86,19386682.00,616.35,0.05,41.00,1787143092.37,8658581.00,222.63,0.07,6.00,56591000.00,358500.00,140.33,0.07,50.00,1115575751.53,8076858.00,165.10,0.07,9.00,198197165.78,1456277.00,128.81,0.07,16.00,272233768.66,2102522.00,119.38,0.08,8.00,161385714.29,1284120.00,136.91,0.08,81.00,2376859900.43,20132965.00,113.79,0.07,51.00,1158555723.98,7089241.00,159.52,0.07,49.00,1929716229.06,13541765.00,147.29,0.07,17.00,315007644.20,1136131.00,343.96,0.07,98.00,5071837382.97,17364978.00,298.56,0.06,9.00,111933603.33,865910.00,129.27,0.06,7.00,46605000.00,457805.00,133.36,0.07,40.00,1213923239.63,3865735.00,301.61,0.06,34.00,1466439265.34,4865021.00,330.93,0.06,47.00,1289020629.88,5705713.00,234.73,0.06,22.00,569196967.00,2711909.00,224.18,0.07,1597.00,55068044325.75,247015519.24,233.96,0.07
2007,15.00,970140195.50,2456985.00,394.85,0.06,6.00,105824090.58,1042379.00,66.47,0.09,25.00,1300677788.10,4922059.00,440.92,0.06,47.00,8316684841.45,11780298.00,757.46,0.04,24.00,212565206.73,1622787.00,136.04,0.08,17.00,193700024.71,1161301.00,173.34,0.04,27.00,766860534.36,3786368.00,207.01,0.07,9.00,115685636.99,836392.00,131.76,0.07,14.00,268580600.00,1766752.00,171.69,0.07,8.00,234464500.00,1232441.00,211.96,0.07,28.00,751272587.85,4408806.00,189.98,0.06,26.00,497325963.67,3015718.00,164.91,0.07,33.00,665686790.30,5798994.00,118.75,0.05,12.00,275027000.00,1163887.00,236.30,0.07,56.00,1572692477.71,5218256.00,321.68,0.06,14.00,378819387.00,1453505.00,264.92,0.07,3.00,70450000.00,387836.00,181.65,0.07,16.00,380461606.67,1166406.00,326.18,0.06,18.00,649861800.00,1601224.00,406.65,0.06,20.00,594757666.67,1874329.00,333.75,0.05,37.00,778917840.00,3150725.00,245.31,0.06,1072.00,30413614830.85,132265692.00,256.26,0.07
2008,10.00,372928525.00,759793.00,492.37,0.07,2.00,10400000.00,261348.00,39.79,0.00,13.00,285952000.00,1468862.00,194.68,0.06,20.00,1518599244.08,3151014.00,543.12,0.04,11.00,480607179.20,1846119.00,260.80,0.08,8.00,78650000.00,529485.00,148.54,0.07,11.00,95210166.67,813376.00,117.06,0.10,5.00,42709449.00,362331.00,117.87,0.07,8.00,88361500.00,478632.00,184.61,0.09,9.00,165886050.00,836631.00,227.96,0.07,16.00,258300000.00,2224660.00,75.06,0.08,9.00,238756592.30,1364221.00,177.70,0.07,10.00,272994379.95,1558123.00,158.76,0.06,11.00,350533500.00,1950370.00,179.73,0.07,26.00,346574363.33,1813370.00,190.30,0.07,8.00,59150000.00,471103.00,122.94,0.08,6.00,60600000.00,635352.00,85.83,0.00,13.00,90399874.11,517861.00,197.18,0.07,10.00,103260000.00,400561.00,270.90,0.05,11.00,230543910.50,851196.00,247.32,0.04,25.00,235395092.14,869588.00,249.34,0.06,551.00,9121096926.65,47166804.00,198.84,0.07
2009,3.00,424600000.00,827067.00,568.03,0.05,2.00,15540000.00,281828.00,55.14,0.00,8.00,90623000.00,816311.00,111.02,0.08,17.00,287604911.00,979547.00,284.31,0.07,12.00,166135000.00,1197630.00,114.97,0.08,4.00,23700000.00,115169.00,205.78,0.08,7.00,165222848.00,1749065.00,160.90,0.07,1.00,6845257.45,64795.00,105.64,0.00,2.00,14850000.00,161278.00,92.08,0.00,2.00,17700000.00,184023.00,100.82,0.00,21.00,204881333.33,2829920.00,85.10,0.00,5.00,49610000.00,750389.00,66.11,0.08,8.00,73329123.00,945111.00,74.16,0.00,4.00,19425000.00,115328.00,168.43,0.00,17.00,262376799.50,1328431.00,218.87,0.09,5.00,72800000.00,716251.00,101.64,0.00,0.00,0.00,0.00,0.00,0.00,9.00,181728181.67,849809.00,213.85,0.10,8.00,293628770.00,856859.00,339.60,0.09,9.00,77001564.00,495876.00,153.14,0.00,9.00,233314242.00,894616.00,260.80,0.10,380.00,5748598958.68,42869598.00,140.81,0.09
2010,16.00,1380753667.50,3283235.00,465.78,0.06,7.00,72375606.60,794118.00,95.92,0.00,18.00,1117070942.00,3070594.00,363.80,0.08,39.00,4426491202.06,11757708.00,506.44,0.05,14.00,599972044.05,4253708.00,146.78,0.07,4.00,226236400.00,954240.00,449.08,0.06,16.00,179351600.00,1906086.00,94.93,0.08,3.00,31100000.00,193925.00,160.37,0.00,14.00,165744419.14,840846.00,170.04,0.00,11.00,158254799.87,1455024.00,110.40,0.07,22.00,397597978.28,2607448.00,224.42,0.08,16.00,344738236.04,2239723.00,164.04,0.09,25.00,857028096.02,5728975.00,173.80,0.09,18.00,246617547.74,1678445.00,140.66,0.00,24.00,821724330.10,2848438.00,284.87,0.07,6.00,65656403.68,537488.00,163.21,0.08,4.00,57969300.00,524365.00,125.51,0.00,19.00,478265833.33,1781069.00,277.61,0.07,20.00,874279540.31,3905962.00,210.80,0.07,15.00,816609000.00,3351624.00,242.28,0.08,13.00,193144240.08,966223.00,209.99,0.06,750.00,20969413280.46,104444228.00,221.86,0.08
