,dc prop,dc vol,dc units,dc psf,dc cr,pitts prop,pitts vol,pitts units,pitts psf,pitts cr,bos prop,bos vol,bos units,bos psf,bos cr,nyc prop,nyc vol,nyc units,nyc psf,nyc cr,atl prop,atl vol,atl units,atl psf,atl cr,nash prop,nash vol,nash units,nash psf,nash cr,rd prop,rd vol,rd units,rd psf,rd cr,aus prop,aus vol,aus units,aus psf,aus cr,dall prop,dall vol,dall units,dall psf,dall cr,den prop,den vol, den units,den psf,den cr,hous prop,hous vol,hous units,hous psf,hous cr,la prop,la vol,la units,la psf,la cr,port prop,port vol,port units,port psf,port cr,slc prop,slc vol,slc units,slc psf,slc cr,sd prop,sd vol,sd units,sd psf,sd cr,sf prop,sf vol,sf units,sf psf,sd cr,sj prop,sj vol,sj units,sj psf,sj cr,sea prop,sea vol,sea units,sea psf,sea cr
01Q1, 12 ,"379,620,305.7"," 1,698,263 ",224,8.6%,#N/A,#N/A,#N/A,#N/A,#N/A, 30 ,"977,387,909.1"," 5,512,929 ",178,8.2%, 23 ,"922,086,000.0"," 4,269,605 ",205,7.0%, 11 ,"98,704,382.5"," 1,347,295 ",73,9.5%, 5 ,"40,975,162.0"," 449,080 ",85,8.8%, 3 ,"20,250,000.0"," 194,716 ",104,8.7%, 4 ,"56,500,000.0"," 612,446 ",#N/A,9.2%, 11 ,"240,741,068.9"," 1,933,030 ",131,8.9%, 6 ,"109,333,333.3"," 1,483,876 ",74,8.3%, 11 ,"147,354,234.9"," 1,693,502 ",78,9.8%, 25 ,"653,460,864.0"," 3,271,398 ",225,7.8%, 6 ,"87,440,580.5"," 658,106 ",140,7.3%, 2 ,"21,679,000.0"," 193,912 ",112,8.2%, 11 ,"85,625,000.0"," 738,015 ",118,8.3%, 7 ,"260,180,000.0"," 765,748 ",340,7.6%, 8 ,"86,967,000.0"," 312,538 ",278,7.8%, 9 ,"290,046,014.0"," 1,522,281 ",134,8.8%
01Q2, 6 ,"193,874,900.0"," 769,801 ",252,8.4%, 1 ,"2,644,000.0"," 80,000 ",33,#N/A, 20 ,"1,223,359,195.6"," 5,718,113 ",241,8.4%, 19 ,"1,713,076,500.5"," 5,223,382 ",352,7.6%, 12 ,"94,704,361.0"," 1,133,874 ",83,8.9%, 4 ,"42,236,596.7"," 368,698 ",118,9.6%, 4 ,"43,350,000.0"," 421,310 ",105,7.3%, 2 ,"43,291,741.0"," 334,629 ",177,9.1%, 12 ,"119,323,801.7"," 1,591,354 ",95,8.3%, 13 ,"198,439,639.2"," 1,434,061 ",145,8.9%, 11 ,"405,087,500.0"," 4,375,228 ",100,9.1%, 31 ,"1,021,565,337.2"," 6,085,456 ",159,8.9%, 17 ,"640,990,362.8"," 3,598,103 ",32,7.2%, 1 ,"78,500,000.0"," 580,000 ",135,7.9%, 32 ,"555,022,190.3"," 3,217,869 ",165,8.5%, 14 ,"444,945,447.2"," 2,195,996 ",321,8.0%, 24 ,"1,025,914,153.3"," 5,493,668 ",403,8.4%, 17 ,"517,134,743.1"," 2,762,259 ",192,7.5%
01Q3, 17 ,"885,876,572.5"," 4,475,204 ",225,8.8%,#N/A,#N/A,#N/A,#N/A,#N/A, 11 ,"159,003,500.0"," 1,047,351 ",152,9.4%, 11 ,"743,715,000.0"," 4,528,321 ",309,7.5%, 11 ,"178,100,061.5"," 1,637,926 ",108,9.3%, 2 ,"11,550,000.0"," 166,304 ",69,#N/A, 6 ,"69,002,554.2"," 564,523 ",122,9.8%, 4 ,"130,801,224.5"," 629,503 ",174,#N/A, 8 ,"114,455,000.0"," 1,721,130 ",64,9.7%, 7 ,"149,246,880.0"," 1,284,283 ",116,9.6%, 13 ,"137,207,667.8"," 1,503,255 ",116,9.3%, 22 ,"864,745,842.7"," 5,127,253 ",184,9.1%, 2 ,"8,600,000.0"," 89,966 ",96,9.6%, 3 ,"27,010,628.4"," 230,368 ",119,9.3%, 15 ,"157,449,333.3"," 969,431 ",162,9.1%, 7 ,"180,841,590.8"," 825,405 ",188,8.0%, 6 ,"95,468,000.0"," 330,080 ",289,9.9%, 4 ,"113,080,000.0"," 733,180 ",154,10.5%
01Q4, 15 ,"767,639,063.6"," 2,708,758 ",297,9.0%, 2 ,"23,550,000.0"," 502,000 ",47,#N/A, 6 ,"162,942,680.0"," 900,484 ",198,8.9%, 22 ,"2,533,083,025.3"," 6,124,592 ",414,7.5%, 5 ,"117,494,388.1"," 1,316,492 ",131,8.4%, 3 ,"41,937,500.0"," 551,846 ",76,10.8%, 1 ,"6,800,000.0"," 94,604 ",72,7.2%, 2 ,"43,803,905.6"," 922,170 ",#N/A,#N/A, 10 ,"202,075,211.9"," 1,583,861 ",132,9.6%, 9 ,"102,361,943.3"," 1,068,376 ",93,9.8%, 4 ,"31,439,000.0"," 459,779 ",68,10.1%, 18 ,"219,381,537.7"," 2,159,791 ",95,8.5%, 3 ,"113,000,000.0"," 827,554 ",137,#N/A, 1 ,"8,000,000.0"," 52,566 ",152,9.2%, 11 ,"172,415,000.0"," 1,179,148 ",146,8.6%, 3 ,"50,302,263.5"," 172,800 ",275,7.9%, 2 ,"197,500,000.0"," 716,000 ",276,9.1%, 12 ,"206,031,199.0"," 1,036,689 ",199,9.0%
02Q1, 12 ,"569,365,905.3"," 2,720,896 ",228,8.9%, 2 ,"33,900,000.0"," 383,725 ",88,#N/A, 3 ,"78,279,210.0"," 399,930 ",196,9.5%, 8 ,"138,664,500.0"," 528,717 ",331,7.4%, 3 ,"157,011,499.0"," 992,963 ",158,9.0%, 4 ,"29,515,000.0"," 221,108 ",133,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A, 3 ,"37,500,000.0"," 330,530 ",136,8.9%, 14 ,"391,087,644.0"," 3,931,394 ",120,9.0%, 5 ,"48,093,560.0"," 692,754 ",69,11.0%, 5 ,"135,830,804.2"," 1,124,838 ",121,9.6%, 20 ,"903,957,314.5"," 4,410,422 ",232,8.9%, 5 ,"70,401,950.0"," 518,433 ",136,9.2%, 3 ,"26,354,500.0"," 275,998 ",95,9.9%, 10 ,"113,706,000.0"," 660,749 ",180,8.9%, 5 ,"71,913,938.6"," 284,307 ",259,#N/A,#N/A,#N/A,#N/A,#N/A,8.6%, 1 ,"30,354,000.0"," 218,213 ",139,8.6%
02Q2, 11 ,"275,245,750.0"," 1,170,943 ",235,8.9%,#N/A,#N/A,#N/A,#N/A,#N/A, 10 ,"376,997,910.7"," 1,843,178 ",205,9.5%, 24 ,"1,451,413,470.6"," 5,668,704 ",295,7.1%, 8 ,"196,541,884.3"," 1,493,891 ",132,9.4%, 4 ,"55,407,000.0"," 491,848 ",113,#N/A, 5 ,"26,452,500.0"," 634,513 ",40,8.5%, 3 ,"29,635,000.0"," 401,879 ",77,#N/A, 11 ,"177,222,281.0"," 2,587,718 ",68,9.0%, 6 ,"54,767,300.0"," 438,750 ",125,10.1%, 11 ,"102,634,221.7"," 1,524,960 ",65,9.4%, 37 ,"691,561,242.2"," 5,695,463 ",129,8.8%, 5 ,"26,763,250.0"," 261,336 ",102,8.3%, 3 ,"32,987,000.0"," 328,622 ",100,#N/A, 18 ,"281,955,000.0"," 1,798,785 ",160,9.0%, 6 ,"147,949,583.5"," 522,635 ",357,10.5%, 4 ,"159,398,800.1"," 748,533 ",152,9.5%, 4 ,"21,120,000.0"," 136,462 ",155,10.7%
02Q3, 11 ,"551,930,500.0"," 2,174,789 ",254,7.7%,#N/A,#N/A,#N/A,#N/A,6.9%, 10 ,"303,980,890.0"," 2,886,546 ",133,8.9%, 15 ,"3,056,306,100.0"," 9,608,831 ",352,7.0%, 7 ,"59,114,876.0"," 692,150 ",85,8.0%, 2 ,"8,100,000.0"," 77,000 ",105,9.7%, 2 ,"69,382,500.0"," 475,398 ",146,8.7%, 5 ,"124,314,658.6"," 716,298 ",192,9.1%, 22 ,"507,721,636.9"," 4,000,349 ",150,8.9%, 6 ,"124,348,892.0"," 1,023,859 ",128,9.5%, 9 ,"123,200,000.0"," 1,567,303 ",88,9.1%, 30 ,"1,347,581,953.2"," 8,647,371 ",173,8.5%, 2 ,"18,500,000.0"," 121,230 ",153,7.8%, 1 ,"23,979,169.6"," 217,035 ",110,9.2%, 22 ,"419,154,205.6"," 2,376,814 ",207,8.8%, 2 ,"31,400,000.0"," 96,140 ",327,6.8%, 4 ,"346,650,000.0"," 1,487,870 ",233,7.7%, 9 ,"166,413,000.0"," 1,286,509 ",129,8.8%
02Q4, 17 ,"894,684,735.8"," 2,995,496 ",252,8.2%,#N/A,#N/A,#N/A,#N/A,#N/A, 13 ,"862,778,534.3"," 4,144,886 ",217,8.6%, 23 ,"1,732,406,361.3"," 5,259,135 ",380,7.4%, 9 ,"148,292,300.0"," 1,537,639 ",96,8.8%, 2 ,"67,029,411.0"," 370,136 ",181,9.7%, 6 ,"130,722,000.0"," 1,294,512 ",101,9.3%, 2 ,"26,900,000.0"," 351,000 ",106,9.1%, 14 ,"312,042,168.3"," 2,831,577 ",116,9.7%, 16 ,"184,113,083.0"," 1,786,685 ",101,8.1%, 21 ,"587,566,000.0"," 5,622,304 ",106,8.9%, 25 ,"687,649,694.3"," 4,375,595 ",161,8.6%, 8 ,"84,875,316.9"," 727,386 ",111,8.0%,#N/A,#N/A,#N/A,#N/A,#N/A, 16 ,"339,000,192.9"," 1,760,716 ",193,8.4%, 5 ,"81,800,000.0"," 470,987 ",174,8.1%, 6 ,"117,950,000.0"," 639,779 ",187,7.1%, 18 ,"332,172,124.0"," 2,011,656 ",171,8.5%
03Q1, 6 ,"471,106,060.3"," 1,324,685 ",356,8.4%, 1 ,"32,000,000.0"," 429,663 ",93,#N/A, 16 ,"1,095,398,666.7"," 3,979,111 ",146,8.9%, 24 ,"1,900,188,714.8"," 7,701,164 ",251,8.4%, 6 ,"78,726,177.3"," 1,172,671 ",67,8.7%, 3 ,"15,850,000.0"," 194,652 ",81,#N/A, 7 ,"91,050,000.0"," 709,638 ",131,8.9%, 1 ,"11,250,000.0"," 81,000 ",139,10.0%, 14 ,"254,879,747.4"," 2,380,446 ",113,9.8%, 5 ,"125,351,100.0"," 1,194,648 ",105,8.7%, 12 ,"222,007,500.0"," 1,958,308 ",102,10.0%, 31 ,"696,430,895.7"," 5,856,983 ",116,8.6%, 3 ,"18,090,000.0"," 123,084 ",147,#N/A, 2 ,"31,450,000.0"," 254,424 ",124,9.6%, 9 ,"294,675,166.7"," 1,407,836 ",210,8.8%, 7 ,"65,748,333.0"," 345,687 ",204,9.8%, 3 ,"92,252,938.2"," 470,641 ",177,#N/A, 8 ,"77,792,929.0"," 622,884 ",125,8.2%
03Q2, 17 ,"626,050,000.0"," 2,405,282 ",259,7.9%, 1 ,"3,850,000.0"," 105,000 ",37,10.1%, 7 ,"111,901,500.0"," 707,642 ",158,8.5%, 11 ,"547,894,112.8"," 2,584,513 ",216,7.8%, 9 ,"146,999,755.0"," 2,041,476 ",71,8.3%, 9 ,"100,030,000.0"," 1,622,114 ",62,2.7%, 2 ,"29,575,000.0"," 311,000 ",95,7.9%, 2 ,"16,474,878.2"," 198,232 ",83,#N/A, 11 ,"243,879,120.1"," 2,907,513 ",103,8.7%, 6 ,"240,533,000.0"," 1,833,421 ",123,8.9%, 12 ,"206,229,480.3"," 2,772,234 ",84,8.9%, 35 ,"903,966,536.3"," 5,790,298 ",162,8.2%,#N/A,#N/A,#N/A,#N/A,7.9%, 4 ,"33,775,000.0"," 426,850 ",79,5.7%, 16 ,"330,357,354.0"," 1,846,003 ",180,8.2%, 10 ,"273,908,051.6"," 1,339,339 ",205,10.0%, 5 ,"189,745,426.7"," 891,085 ",213,#N/A, 9 ,"229,976,566.6"," 1,090,249 ",209,7.8%
