,dc prop,dc vol,dc units,dc psf,dc cr,pitts prop,pitts vol,pitts units,pitts psf,pitts cr,bos prop,bos vol,bos units,bos psf,bos cr,nyc prop,nyc vol,nyc units,nyc psf,nyc cr,atl prop,atl vol,atl units,atl psf,atl cr,nash prop,nash vol,nash units,nash psf,nash cr,rd prop,rd vol,rd units,rd psf,rd cr,aus prop,aus vol,aus units,aus psf,aus cr,dall prop,dall vol,dall units,dall psf,dall cr,den prop,den vol, den units,den psf,den cr,hous prop,hous vol,hous units,hous psf,hous cr,la prop,la vol,la units,la psf,la cr,port prop,port vol,port units,port psf,port cr,slc prop,slc vol,slc units,slc psf,slc cr,sd prop,sd vol,sd units,sd psf,sd cr,sf prop,sf vol,sf units,sf psf,sf cr,sj prop,sj vol,sj units,sj psf,sj cr,sea prop,sea vol,sea units,sea psf,sea cr
01Q1,12,379620305.7,1698263,223.53,0.09,0,0,0,0,0,30,977387909.1,5512929,177.97,0.08,23,922086000,4269605,205.01,0.07,11,98704382.5,1347295,73.26,0.1,5,40975162,449080,84.79,0.09,3,20250000,194716,104,0.09,4,56500000,612446,0,0.09,11,240741068.9,1933030,131.45,0.09,6,109333333.3,1483876,73.68,0.08,11,147354234.9,1693502,78.14,0.1,25,653460864,3271398,225.36,0.08,6,87440580.47,658106,140.45,0.07,2,21679000,193912,111.8,0.08,11,85625000,738015,118.11,0.08,7,260180000,765747.76,339.77,0.08,8,86967000,312538,278.26,0.08,9,290046014.1,1522281,133.73,0.09
01Q2,6,193874900,769801,251.85,0.08,1,2644000,80000,33.05,0,20,1223359196,5718113,241.24,0.08,19,1713076501,5223382,352.07,0.08,12,94704361,1133874,83.06,0.09,4,42236596.69,368698,118.01,0.1,4,43350000,421310,104.83,0.07,2,43291740.98,334629,176.87,0.09,12,119323801.7,1591354,94.97,0.08,13,198439639.2,1434061,145.32,0.09,11,405087500,4375228,100.17,0.09,31,1021565337,6085456,159.34,0.09,17,640990362.8,3598103,31.88,0.07,1,78500000,580000,135.34,0.08,32,555022190.3,3217869,165.26,0.09,14,444945447.2,2195996,320.75,0.08,24,1025914153,5493668,403.21,0.08,17,517134743.1,2762259,192.37,0.08
01Q3,17,885876572.5,4475204,224.74,0.09,0,0,0,0,0,11,159003500,1047351,151.81,0.09,11,743715000,4528321,308.85,0.07,11,178100061.5,1637926,107.68,0.09,2,11550000,166304,69.45,0,6,69002554.2,564523,122.23,0.1,4,130801224.5,629503,174.17,0,8,114455000,1721130,64.12,0.1,7,149246880,1284283,116.21,0.1,13,137207667.8,1503255,115.73,0.09,22,864745842.7,5127253,183.5,0.09,2,8600000,89966,95.59,0.1,3,27010628.44,230368,119.11,0.09,15,157449333.3,969431,162.41,0.09,7,180841590.8,825405,188.02,0.08,6,95468000,330080,289.23,0.1,4,113080000,733180,154.23,0.11
01Q4,15,767639063.6,2708758,297.23,0.09,2,23550000,502000,46.91,0,6,162942680,900484,198,0.09,22,2533083025,6124592,413.59,0.08,5,117494388.2,1316492,131.5,0.08,3,41937500,551846,75.99,0.11,1,6800000,94604,71.88,0.07,2,43803905.56,922170,0,0,10,202075211.9,1583861,132.38,0.1,9,102361943.3,1068376,93.4,0.1,4,31439000,459779,68.38,0.1,18,219381537.7,2159791,94.98,0.08,3,113000000,827554,136.55,0,1,8000000,52566,152.19,0.09,11,172415000,1179148,146.22,0.09,3,50302263.52,172800,275.26,0.08,2,197500000,716000,275.84,0.09,12,206031199,1036689,198.74,0.09
02Q1,12,569365905.3,2720896,227.71,0.09,2,33900000,383725,88.34,0,3,78279210,399930,195.73,0.09,8,138664500,528717,330.71,0.07,3,157011499,992963,158.12,0.09,4,29515000,221108,133.49,0,0,0,0,0,0,3,37500000,330530,136.25,0.09,14,391087644,3931394,119.71,0.09,5,48093560,692754,69.42,0.11,5,135830804.2,1124838,120.76,0.1,20,903957314.6,4410422,232.45,0.09,5,70401950,518433,135.8,0.09,3,26354500,275998,95.49,0.1,10,113706000,660749,179.75,0.09,5,71913938.57,284307,259.15,0,0,0,0,0,0.09,1,30354000,218213,139.1,0.09
02Q2,11,275245750,1170943,235.06,0.09,0,0,0,0,0,10,376997910.7,1843178,204.54,0.09,24,1451413471,5668704,294.59,0.07,8,196541884.3,1493891,131.56,0.09,4,55407000,491848,112.65,0,5,26452500,634513,40.11,0.08,3,29635000,401879,76.75,0,11,177222281.1,2587718,68.29,0.09,6,54767300,438750,124.83,0.1,11,102634221.8,1524960,64.96,0.09,37,691561242.2,5695463,128.86,0.09,5,26763250,261336,102.41,0.08,3,32987000,328622,100.38,0,18,281955000,1798785,160.37,0.09,6,147949583.5,522635,356.59,0.11,4,159398800.1,748533,152.01,0.1,4,21120000,136462,154.77,0.11
02Q3,11,551930500,2174789,253.79,0.08,0,0,0,0,0.07,10,303980890,2886546,133.34,0.09,15,3056306100,9608831,352.04,0.07,7,59114876,692150,85.41,0.08,2,8100000,77000,105.19,0.1,2,69382500,475398,145.95,0.09,5,124314658.6,716298,192.13,0.09,22,507721636.9,4000349,149.52,0.09,6,124348892,1023859,127.54,0.1,9,123200000,1567303,88.19,0.09,30,1347581953,8647371,173.12,0.09,2,18500000,121230,152.6,0.08,1,23979169.6,217035,110.49,0.09,22,419154205.6,2376814,207.45,0.09,2,31400000,96140,326.61,0.07,4,346650000,1487870,232.98,0.08,9,166413000,1286509,129.35,0.09
02Q4,17,894684735.8,2995496,252.46,0.08,0,0,0,0,0,13,862778534.3,4144886,217.44,0.09,23,1732406361,5259135,379.9,0.07,9,148292300,1537639,96.44,0.09,2,67029411,370136,181.09,0.1,6,130722000,1294512,100.98,0.09,2,26900000,351000,105.63,0.09,14,312042168.3,2831577,116.45,0.1,16,184113083,1786685,100.58,0.08,21,587566000,5622304,105.55,0.09,25,687649694.3,4375595,160.66,0.09,8,84875316.88,727386,110.64,0.08,0,0,0,0,0,16,339000192.9,1760716,192.96,0.08,5,81800000,470987,173.68,0.08,6,117950000,639779,187.26,0.07,18,332172124,2011656,170.63,0.08
03Q1,6,471106060.3,1324685,355.64,0.08,1,32000000,429663,93.1,0,16,1095398667,3979111,145.72,0.09,24,1900188715,7701164,250.61,0.08,6,78726177.33,1172671,67.13,0.09,3,15850000,194652,81.43,0,7,91050000,709638,131.05,0.09,1,11250000,81000,138.89,0.1,14,254879747.4,2380446,112.74,0.1,5,125351100,1194648,104.93,0.09,12,222007500,1958308,102,0.1,31,696430895.7,5856983,116.14,0.09,3,18090000,123084,146.97,0,2,31450000,254424,123.61,0.1,9,294675166.7,1407836,210.21,0.09,7,65748333,345687,203.76,0.1,3,92252938.18,470641,176.59,0,8,77792929,622884,124.89,0.08
03Q2,17,626050000,2405282,259.07,0.08,1,3850000,105000,36.67,0.1,7,111901500,707642,158.13,0.08,11,547894112.8,2584513,216.23,0.08,9,146999755,2041476,71.5,0.08,9,100030000,1622114,61.73,0.03,2,29575000,311000,95.1,0.08,2,16474878.18,198232,83.11,0,11,243879120.1,2907513,103.05,0.09,6,240533000,1833421,122.92,0.09,12,206229480.3,2772234,83.62,0.09,35,903966536.3,5790298,161.83,0.08,0,0,0,0,0.08,4,33775000,426850,79.13,0.06,16,330357354,1846003,180.27,0.08,10,273908051.6,1339339,204.51,0.1,5,189745426.7,891085,212.94,0,9,229976566.6,1090249,209.35,0.08
